#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:21:48       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:49       0    226     66      -     95     82      0      0      0      0   8551   2685      0      0   2442      5      0    252     36 
 20251215    18:21:49       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:49       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:51       0    226     66      -     95     79      0      0      0      0   8551   2715      0      0   2442      5      0      0      0 
 20251215    18:21:51       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:51       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:52       0     99     59      -      0      0      0      0      0      0   8551   2715      0      0   1632      5      0      0      0 
 20251215    18:21:52       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:52       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:53       0     70     58      -      0      0      0      0      0      0   8551   2550      0      0   1632      5      0      0      0 
 20251215    18:21:53       1     19     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:53       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:54       0     90     62      -     69     58      0      0      0      0   8551   2715      0      0   1762      5      0   1057    123 
 20251215    18:21:54       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:54       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:55       0    198     63      -     69     57      0      0      0      0   8551   2715      0      0   1762      5      0   1056    124 
 20251215    18:21:55       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:55       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:56       0    201     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0   1058     62 
 20251215    18:21:56       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:56       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:57       0     87     57      -      0      0      0      0      0      0   8551   2715      0      0   1632      5      0      0      0 
 20251215    18:21:57       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:57       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:59       0     66     56      -      0      0      0      0      0      0   8551   2550      0      0   1632      5      0      0      0 
 20251215    18:21:59       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:21:59       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:00       0     64     57      -      0      0      0      0      0      0   8551   2550      0      0   1762      5      0   1056    124 
 20251215    18:22:00       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:00       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:01       0    195     62      -     71     58      0      0      0      0   8551   2715      0      0   1762      5      0    780    124 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:22:01       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:01       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:02       0    201     63      -     70     59      0      0      0      0   8551   2715      0      0   1762      5      0   1055    123 
 20251215    18:22:02       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:02       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:03       0    200     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0   1060    123 
 20251215    18:22:03       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:03       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:04       0    201     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0    987    123 
 20251215    18:22:04       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:04       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:05       0    200     63      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0   1058    124 
 20251215    18:22:05       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:05       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:06       0    180     59      -     70     58      0      0      0      0   8551   2715      0      0   1762      5      0      0      0 
 20251215    18:22:06       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:06       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:08       0     71     57      -      0      0      0      0      0      0   8551   2715      0      0   1632      5      0      0      0 
 20251215    18:22:08       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:08       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:09       0     69     55      -      0      0      0      0      0      0   8551   2550      0      0   1632      5      0      0      0 
 20251215    18:22:09       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:09       2     10     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:10       0     69     56      -     29      8      0      0      0      0   8551   2550      0      0   1764      5      0    264     33 
 20251215    18:22:10       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:10       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:11       0     71     54      -      0      0      0      0      0      0   8551   2550      0      0   1764      5      0      0      0 
 20251215    18:22:11       1     18     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:11       2      9     30      -      0      0      0      0      0      0    405    210      0      0      4      3      0      0      0 
 20251215    18:22:12       0     52     53      -      0      0      0      0      0      0   8551   2550      0      0   1651      7      0     12     24 
 20251215    18:22:12       1     18     30      -      0      0      0      0      0      0    405    210      0      0     34      5      0    144     34 
 20251215    18:22:12       2      9     30      -      0      0      0      0      0      0    405    210      0      0    330      5      0    269     59 
 20251215    18:22:13       0     55     53      -      8      0      0      0      0      0   8551   2550      0      0   2413      7      0     40     36 
 20251215    18:22:13       1     36     31      -      8      0      0      0      0      0   8551   2550      0      0    754      5      0    892     41 
 20251215    18:22:13       2     30     31      -      8      0      0      0      0      0   8551   2550      0      0    876      5      0    376     30 
 20251215    18:22:14       0    202     60      -     95     76      0      0      0      0   8551   2715      0      0   3479      7      0    333    158 
 20251215    18:22:14       1     50     32      -     10      0      0      0      0      0   8551   2550      0      0   1380      5      0      0      0 
 20251215    18:22:14       2     44     32      -      7      0      0      0      0      0   8551   2550      0      0   1380      5      0      0      0 
 20251215    18:22:16       0    218     61      -     97     76      0      0      0      0   8551   2670      0      0   3733      7      0    162    133 
 20251215    18:22:16       1     47     32      -      0      0      0      0      0      0   8551   2550      0      0   1380      5      0      0      0 
 20251215    18:22:16       2     41     32      -      0      0      0      0      0      0   8551   2550      0      0   1380      5      0      0      0 
 20251215    18:22:17       0    220     61      -     97     77      0      0      0      0   8551   2715      0      0   3883      7      0    950    375 
 20251215    18:22:17       1     46     32      -      0      0      0      0      0      0   8551   2550      0      0   1446      5      0    555    609 
 20251215    18:22:17       2     40     32      -      0      0      0      0      0      0   8551   2550      0      0   1446      5      0    800    803 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:22:18       0    219     61      -     95     76      0      0      0      0   8551   2715      0      0   3883      7      0    138    214 
 20251215    18:22:18       1     54     33      -     15      3      0      0      0      0   8551   2550      0      0   1446      5      0    658    732 
 20251215    18:22:18       2     50     32      -     10      2      0      0      0      0   8551   2550      0      0   1448      5      0    861    879 
 20251215    18:22:19       0    217     62      -     96     77      0      0      0      0   8551   2715      0      0   3883      7      0    429    430 
 20251215    18:22:19       1     52     32      -      0      0      0      0      0      0   8551   2550      0      0   1446      5      0      0      0 
 20251215    18:22:19       2     48     32      -      0      0      0      0      0      0   8551   2550      0      0   1450      5      0      0      0 
 20251215    18:22:20       0    220     62      -     97     77      0      0      0      0   8551   2715      0      0   3883      7      0    631    153 
 20251215    18:22:20       1     51     33      -     13      2      0      0      0      0   8551   2550      0      0   1446      5      0    760    690 
 20251215    18:22:20       2     44     33      -     10      2      0      0      0      0   8551   2550      0      0   1450      5      0    544    601 
 20251215    18:22:21       0    220     62      -     92     75      0      0      0      0   8551   2715      0      0   3883      7      0    904     60 
 20251215    18:22:21       1     57     33      -     10      2      0      0      0      0   8551   2550      0      0   1446      5      0    131      0 
 20251215    18:22:21       2     50     33      -     15      3      0      0      0      0   8551   2550      0      0   1450      5      0      0      0 
 20251215    18:22:22       0    219     63      -     97     79      0      0      0      0   8551   2715      0      0   3883      7      0    670     94 
 20251215    18:22:22       1     48     33      -      0      0      0      0      0      0   8551   2550      0      0   1448      5      0    623    364 
 20251215    18:22:22       2     40     33      -      0      0      0      0      0      0   8551   2550      0      0   1450      5      0    507    812 
 20251215    18:22:24       0    218     63      -     93     75      0      0      0      0   8551   2640      0      0   3883      7      0    900    390 
 20251215    18:22:24       1     57     33      -     16      3      0      0      0      0   8551   2550      0      0   1448      5      0    596    658 
 20251215    18:22:24       2     50     33      -     16      3      0      0      0      0   8551   2550      0      0   1450      5      0    638    694 
 20251215    18:22:25       0    219     64      -     95     76      0      0      0      0   8551   2700      0      0   3883      7      0    916    381 
 20251215    18:22:25       1     56     33      -     15      3      0      0      0      0   8551   2550      0      0   1448      5      0      0      0 
 20251215    18:22:25       2     50     33      -     15      3      0      0      0      0   8551   2550      0      0   1450      5      0      0      0 
 20251215    18:22:26       0    221     63      -     97     78      0      0      0      0   8551   2715      0      0   3883      7      0    674     92 
 20251215    18:22:26       1     49     33      -      0      0      0      0      0      0   8551   2550      0      0   1448      5      0    706    377 
 20251215    18:22:26       2     42     33      -      0      0      0      0      0      0   8551   2550      0      0   1450      5      0    627    961 
 20251215    18:22:27       0    220     64      -     96     77      0      0      0      0   8551   2625      0      0   3883      7      0    653     60 
 20251215    18:22:27       1     57     34      -     16      3      0      0      0      0   8551   2550      0      0   1448      5      0    893    389 
 20251215    18:22:27       2     51     34      -     16      3      0      0      0      0   8551   2550      0      0   1450      5      0    621    692 
 20251215    18:22:28       0    220     64      -     94     75      0      0      0      0   8551   2640      0      0   3883      7      0    872    332 
 20251215    18:22:28       1     53     34      -     16      3      0      0      0      0   8551   2550      0      0   1448      5      0    710    903 
 20251215    18:22:28       2     47     34      -     15      3      0      0      0      0   8551   2550      0      0   1450      5      0    793    832 
 20251215    18:22:29       0    219     64      -     94     75      0      0      0      0   8551   2715      0      0   3883      7      0    929    391 
 20251215    18:22:29       1     58     34      -     14      3      0      0      0      0   8551   2550      0      0   1448      5      0    671    743 
 20251215    18:22:29       2     51     34      -     10      2      0      0      0      0   8551   2550      0      0   1450      5      0    683   1008 
 20251215    18:22:30       0    220     64      -     96     77      0      0      0      0   8551   2715      0      0   3883      7      0    575    483 
 20251215    18:22:30       1     49     33      -      0      0      0      0      0      0   8551   2550      0      0   1450      5      0      0      0 
 20251215    18:22:30       2     43     34      -      0      0      0      0      0      0   8551   2550      0      0   1450      5      0      0      0 
 20251215    18:22:31       0    226     65      -     95     80      0      0      0      0   8551   2655      0      0   3859      7      0    593    141 
 20251215    18:22:31       1     47     34      -      0      0      0      0      0      0   8551   2550      0      0   1398      5      0      0      0 
 20251215    18:22:31       2     40     34      -      0      0      0      0      0      0   8551   2550      0      0   1398      5      0      0      0 
 20251215    18:22:33       0    224     64      -     99     86      0      0      0      0   8551   2610      1      0   5305      7      0    929    114 
 20251215    18:22:33       1     47     34      -      0      0      0      0      0      0   8551   2550      0      0   1398      5      0      0      0 
 20251215    18:22:33       2     40     34      -      0      0      0      0      0      0   8551   2550      0      0   1398      5      0      0      0 
 20251215    18:22:34       0    221     65      -     98     83      0      0      0      0   8551   2715      1      0   5305      7      0   1897     74 
 20251215    18:22:34       1     47     34      -      0      0      0      0      0      0   8551   2550      0      0   1398      5      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251215    18:22:34       2     40     34      -      0      0      0      0      0      0   8551   2550      0      0   1398      5      0      0      0 
